id,name,price,original_price,discount,rating_average,review_count,brand,category
277620082,Nồi Cookplus Speed Cook 16cm - Màu vàng (Một tay cầm) - LCA3161Y-1,409000,409000,0,0.0,0,LocknLock,
277448944,Chiếu Ngủ Văn Phòng Cao Cấp Cá Nhân Chiếu Cách Nhiệt Thảm Ngủ Trưa Tấm Lót Đa Năng Du Lịch Dã Ngoại - PaKaSa ( Viền màu ngẫu nhiên),69000,138000,69000,0.0,0,PaKaSa,
276440258,"Bình Gas Bơm Bật Lửa Bluesky 5 Đầu Bơm Dung Tích 150gr/275ml Siêu Tiện Dụng, Bình Bơm Gas Bật Lửa Hàn Quốc",58000,58000,0,4.8,18,AlphaVH,
276238012,"Hộp nhựa đựng đồ, đựng thực phẩm đa năng có nắp gài và quai xách tiện lợi nhựa PP trong suốt thương hiệu VIệt Nhật",59000,99000,40000,5.0,1,Việt Nhật,
276165574,[Combo 10] Móc Dán Tường 3D Hình dễ thương – Chịu Lực Tốt – Siêu Dính,29000,40000,11000,2.0,1,HENRYSA Bạn của mọi nhà,
275598585,"Dưỡng Hoa Tươi Lâu Greenhome, Longlife, Phân Bón Cho Hoa Cắt Cành, Gói 5gr, Lâu Tàn, Nở Bông To, Không Bị Hôi Nước",2750,4900,2150,5.0,2,Greenhome,
275570245,Chảo Inox dập nguyên khối Elmich EL-2431OL,426000,900000,474000,4.7,21,Elmich,
275213424,Bình Xịt Diệt Mối Thái Lan,115000,115000,0,4.7,3,smatayoko,
275189108,Cốc giữ nhiệt inox 304 Elmich EL8345 dung tích 480ML - Hàng Chính Hãng,182000,390000,208000,4.8,13,Elmich,
275058873,Bình giữ nhiệt Metro Cafe Tumbler LocknLock LHC4357 - Dung tích 500ml - Phủ sứ,466000,628000,162000,5.0,37,LocknLock,
274721418,Ô Dù Che Mưa Đi Nắng Tự Động Xếp Gấp Gọn Chống UV Cao Cấp Cho Ô Tô Xe Hơi (phiên bản ĐẶC BIỆT 12 nan chịu lực),129000,139000,10000,4.7,18,EVENDAY,
273672038,Ly nhựa 2 lớp Bubble Tea Cold Cup LocknLock HAP529 - Kèm ống hút - Dung tích 720ml,141000,217000,76000,5.0,5,LocknLock,
273619945,Cốc giữ nhiệt inox 304 Elmich EL8312 dung tích 600ml - Hàng Chính Hãng,216000,499000,283000,4.8,23,Elmich,
271772791,"Hộp Che Ổ Điện Dán Tường Chống Nắng Ngoài Trời, Chống Nước Trong Nhà Tắm",18050,19000,950,3.3,3,NAVIVU,
259514009,"10 Muỗng Đong Định Lượng Greenhome, 2 Đầu, Chia Vạch Sẵn, Tiện Lợi, Đong Phân Bón Dạng Bột, Gia Vị",2780,4000,1220,0.0,0,Greenhome,
197571724,"Khăn Tắm, Khăn Mặt, Combo 2 Khăn Lông Cừu Kích Thước 70cm x 140cm, 35cm x 75cm, Tiêu Chuẩn Hàn Quốc Sêu Mềm Mịn, An Toàn Cho Da - Chính hãng ",69000,138000,69000,5.0,1,PaKaSa,
195469953,Súng Bắn Keo (Cỡ Lớn/Nhỏ) Kèm 10 Keo Nến Silicon,95000,100000,5000,4.7,73,NAVIVU,
176309243,Lô 4 cuộn túi rác tiện dụng Inochi- Soji : 25 Lít (54 x 70cm),54000,71818,17818,5.0,8,Inochi,
169362095,"Bàn Chải Chà Chân , Chà Sàn , Giặt Đồ Có Khay Đựng Xà Phòng Hiện Đại GroFa - Chính Hãng ",39000,39000,0,5.0,1,Gro-Fa,
158639945,"Hộp 20 Viên Pin AA / AAA Maxell Alkaline 1,5V - Hàng chính hãng",130000,130000,0,4.8,73,Maxell,
155286369,Bộ Hộp Cơm Tupperware Crysral Wave Lunch Set Kèm Muỗng Nĩa & Túi Đựng,149000,750000,601000,5.0,3,Tupperware,
149349961,Nhang Xanh Phổ Thông 30cm 500g - Chân mộc,165000,165000,0,5.0,50,Nhang Xanh,
134853381,Bình giữ nhiệt LocknLock Feather Light Ring 460ml,391000,601000,210000,4.8,339,LocknLock,
117058329,Giấy lọc cà phê Hario 100 cái (V60-VCF-01-100W),99000,99000,0,5.0,55,Hario,
94778000,"Ô Dù che nắng, che mưa, có nút bấm 2 chiều, hàng chất lượng, dễ thương, thiết kế sang trọng và bền bỉ, ô dù có lựa chọn màu sắc, ",196000,196000,0,4.7,273,XUDI,
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,333000,560000,227000,4.8,3567,LocknLock,
82875291,"Bộ 2 thùng vải, hộp vải đựng đồ đa năng -Màu Nâu Kem + Tặng kèm dây cột tóc- Hộp vải đựng quần áo 2 size đựng quần áo, đồ lót, giày, văn phòng phẩm, đồ dùng cá nhân rất tiện lợi-Bộ 2 hộp vải đựng đồ vải canvas siêu xinh có nắp đậy, tủ vải đựng đồ hộp cái ",99000,99000,0,4.6,144,SOHOGO,
81895232,"Combo 3 Giỏ treo chậu hoa ban công MONROVIA, giỏ sắt treo chậu hoa ban công, chậu treo ban công, kệ treo ban công, móc treo, khung thép, sơn tĩnh điện chính hãng thương hiệu MONROVIA ",115000,115000,0,4.8,94,Monrovia,
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),436000,677000,241000,4.7,7092,LocknLock,
72128693,Bình xịt phun sương tưới cây bình áp suất nén khí cao cấp 2 lít,98000,135000,37000,5.0,6,OEM,
71178441,"Áo Mưa Bít Dù Trơn, Áo Mưa Kín Người Vải Dù Siêu Dày 1M4, Chống Thấm Hiệu Quả, Phù Hợp Nam Và Nữ, Có Túi Đựng, Có Lựa Chọn Màu Sắc",115000,115000,0,4.7,243,XUDI,
68521325,Trung Nguyên Legend - Phin nhôm hoa văn Trống Đồng,35000,35000,0,5.0,29,Trung Nguyên,
58357614,"Đèn bắt muỗi, ruồi và các loại côn trùng Con Dơi",379000,379000,0,4.5,1021,CON DƠI,
57806524,"Áo Mưa Bộ Vải Dù Cao Cấp Cho Bé Từ 3 -10 Tuổi, Chống Thấm, Che Kín Người An Toàn Cho Bé, Lựa Chọn Màu Sắc Phù Hợp Giới Tính (Giao Màu - Mẫu Ngẫu Nhiên)",110000,110000,0,4.6,108,XUDI,
50701305,Vợt muỗi SUNHOUSE SHE-S800,110000,150000,40000,4.5,36,Sunhouse,
46327991,"Hộp Nhựa Đựng Thực Phẩm Trong Suốt GAGI Mã GH01 Nhựa PP Bền Bỉ, Sử Dụng Cho Cả Lò Vi Sóng Không Bám Mùi Dễ Dàng Vệ Sinh - Hàng Chính Hãng",47000,79000,32000,4.6,184,OEM,
17423771,"5 Viên Pin CR2032 3V Panasonic Lithium thay pin Smartkey , Cmos , Pin thay Airtag - Hàng chính hãng",72000,72000,0,4.1,10,Panasonic,
8282408,Ổ Cắm Điện Huntkey SZM401 Power Strip,109002,109002,0,4.5,2,Huntkey,
6652303,"Mền tuyết NIN HOUSE 100% Microfiber 1m3x2m mới 2024, chăn hè cao cấp mịn màng, chăn lông tuyết nhung nhiều màu",219000,219000,0,4.6,19,Nin House,
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,140000,140000,0,5.0,317,Energizer,
277451259,Chai Xịt Đuổi Chuột RAT OFF ANTI RAT SPRAY 200ml Thái Lan,92820,150000,57180,0.0,0,PaKaSa,
276965213,Chảo Inox liền khối Sunhouse Healthy IN20M7E - IN24M7E - IN26M7E - Dùng cho mọi loại bếp,242000,320000,78000,0.0,0,Sunhouse,
276847009,"Vỉ 10 Đôi Đũa Kháng Khuẩn 3 Sọc , Hàng Chuẩn Xuất Nhật , Thiết Kế Chống Trượt Được Sử Dụng Phổ Biến Rộng Rãi Ở Nhà Hàng , Khách Sạn , Trong Gia Đình - Hàng cao cấp",39000,78000,39000,0.0,0,PaKaSa,
276604469,Nhiệt Kế Đo Nhiệt Độ Sữa và Đồ Ăn Cho Bé Nhiệt kế đo thực phẩm,100000,100000,0,0.0,0,LuckyJQR,
276504239,"Đèn Led Trang Trí Tết, Giáng Sinh, Noel Nhiều Kiểu Dáng Dài 10 Mét",123500,130000,6500,1.0,1,NAVIVU,
276452619,Màng co bọc thực phẩm cao cấp - PE Shinsen Inochi - bảo quản thực phẩm tươi sạch nhiều size ( tặng kèm khăn lau đa năng),89000,145000,56000,0.0,0,Inochi,
276451620,"Combo 3 Đèn LED Gắn Tủ , Trang Trí Tủ Phòng Ngủ , Phòng Khách Có Chức Năng Hẹn Giờ - Hàng Chính Hãng",116620,180000,63380,4.5,2,PaKaSa,
276109412,Ổ cắm điện Philips 8 lỗ 2 chấu CHP2180WB/74 (2500W) - 3m,207000,235000,28000,4.5,2,Philips,
275858428,Bộ Hộp Kim Chỉ May Vá Đa Năng 2 Tầng 20 Chi Tiết Tiện Lợi Khâu Vá Quần Áo,69000,95000,26000,4.0,1,PEAFLO,
275405718,Gương Dán Tường Tai Mèo Xoay 14.5 cm PaKaSa - Hàng chính hãng,69000,138000,69000,5.0,1,PaKaSa,
275079966,Đũa - Combo 30 đôi đũa khảm vàng - Đũa ăn viền vàng - đũa ăn cơm - đũa ăn đen viền vàng - Hàng chính hãng,81000,81000,0,0.0,0,Gro-Fa,
274962328,Xô Đựng Nước Gấp Gọn Đa Năng Có Bánh Xe Chậu Gấp Gọn Tiện Lợi Giặt Cây Lau Nhà Chùi Kính Dung Tích 12L,95000,145000,50000,0.0,0,PEAFLO,
